TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM STATION NAME,TO STATION ID,TO STATION NAME,USER TYPE,GENDER,BIRTH YEAR,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION,datetime_hour,DATE,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyWindSpeed,Time
22200000,2019-03-04 08:29:54,04/03/2019 08:38:51 AM,5313,537,18,Wacker Dr & Washington St,50,Clark St & Ida B Wells Dr,Subscriber,Male,1982.0,41.883132,-87.637321,POINT (-87.637321 41.883132),41.875932666,-87.630584536,POINT (-87.6305845355 41.8759326655),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199999,2019-03-04 08:29:52,04/03/2019 08:33:36 AM,5884,224,137,Morgan Ave & 14th Pl,55,Halsted St & Roosevelt Rd,Subscriber,Male,1965.0,41.862378,-87.651062,POINT (-87.651062 41.862378),41.867324,-87.648625,POINT (-87.648625 41.867324),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199998,2019-03-04 08:29:52,04/03/2019 08:47:57 AM,4048,1085,210,Ashland Ave & Division St,47,State St & Kinzie St,Subscriber,Male,1987.0,41.90345,-87.667747,POINT (-87.667747 41.90345),41.889187,-87.627754,POINT (-87.627754 41.889187),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199997,2019-03-04 08:29:50,04/03/2019 08:34:59 AM,2638,309,96,Desplaines St & Randolph St,192,Canal St & Adams St,Subscriber,Male,1988.0,41.88461619,-87.644570585,POINT (-87.6445705849 41.88461618962),41.879255,-87.639904,POINT (-87.639904 41.879255),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199996,2019-03-04 08:29:45,04/03/2019 08:38:06 AM,3179,501,77,Clinton St & Madison St,43,Michigan Ave & Washington St,Subscriber,Male,1978.0,41.882242,-87.641066,POINT (-87.641066 41.882242),41.883892766,-87.624649141,POINT (-87.6246491409 41.8838927658),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199993,2019-03-04 08:29:40,04/03/2019 08:42:38 AM,5437,778,493,Western Ave & Roscoe St,117,Wilton Ave & Belmont Ave,Subscriber,Male,1969.0,41.943034,-87.687288,POINT (-87.687288 41.943034),41.94018,-87.65304,POINT (-87.65304 41.94018),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199994,2019-03-04 08:29:40,04/03/2019 08:37:28 AM,5734,468,192,Canal St & Adams St,621,Aberdeen St & Randolph St,Subscriber,Male,1971.0,41.879255,-87.639904,POINT (-87.639904 41.879255),41.884114,-87.654264,POINT (-87.654264 41.884114),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199992,2019-03-04 08:29:30,04/03/2019 08:57:21 AM,5852,1671,213,Leavitt St & North Ave,50,Clark St & Ida B Wells Dr,Subscriber,Male,1982.0,41.910153,-87.68229,POINT (-87.68229 41.910153),41.875932666,-87.630584536,POINT (-87.6305845355 41.8759326655),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199991,2019-03-04 08:29:28,04/03/2019 08:34:14 AM,6196,286,81,Daley Center Plaza,110,Dearborn St & Erie St,Subscriber,Male,1971.0,41.884241,-87.629634,POINT (-87.629634 41.884241),41.893992,-87.629318,POINT (-87.629318 41.893992),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199990,2019-03-04 08:29:17,04/03/2019 08:32:48 AM,1970,211,107,Desplaines St & Jackson Blvd,109,900 W Harrison St,Subscriber,Female,1983.0,41.878287,-87.643909,POINT (-87.643909 41.878287),41.874754,-87.649807,POINT (-87.649807 41.874754),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199989,2019-03-04 08:29:16,04/03/2019 08:57:56 AM,4024,1720,157,Lake Shore Dr & Wellington Ave,100,Orleans St & Merchandise Mart Plaza,Customer,Female,1993.0,41.936669,-87.636794,POINT (-87.636794 41.936669),41.888243,-87.63639,POINT (-87.63639 41.888243),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199987,2019-03-04 08:29:09,04/03/2019 08:46:51 AM,2684,1062,93,Sheffield Ave & Willow St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1983.0,41.913688,-87.652855,POINT (-87.652855 41.913688),41.888243,-87.63639,POINT (-87.63639 41.888243),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199984,2019-03-04 08:29:08,04/03/2019 08:34:17 AM,3269,309,69,Damen Ave & Pierce Ave,58,Marshfield Ave & Cortland St,Subscriber,Male,1984.0,41.909396006,-87.677691929,POINT (-87.6776919292 41.9093960065),41.916017,-87.668879,POINT (-87.668879 41.916017),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199985,2019-03-04 08:29:07,04/03/2019 08:51:13 AM,4414,1326,223,Clifton Ave & Armitage Ave,73,Jefferson St & Monroe St,Subscriber,Male,1969.0,41.918216,-87.656936,POINT (-87.656936 41.918216),41.880422,-87.642746,POINT (-87.642746 41.880422),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199982,2019-03-04 08:29:05,04/03/2019 08:44:37 AM,4620,932,192,Canal St & Adams St,161,Rush St & Superior St,Subscriber,Male,1976.0,41.879255,-87.639904,POINT (-87.639904 41.879255),41.895764746,-87.625908033,POINT (-87.6259080327 41.89576474564),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199983,2019-03-04 08:29:04,04/03/2019 08:45:51 AM,432,1007,159,Claremont Ave & Hirsch St,38,Clark St & Lake St,Subscriber,Male,1989.0,41.907781,-87.685854,POINT (-87.685854 41.907781),41.886020828,-87.630876058,POINT (-87.6308760584 41.88602082773),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199981,2019-03-04 08:29:03,04/03/2019 08:38:31 AM,313,568,346,Ada St & Washington Blvd,192,Canal St & Adams St,Subscriber,Male,1978.0,41.88283,-87.661206,POINT (-87.661206 41.88283),41.879255,-87.639904,POINT (-87.639904 41.879255),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199980,2019-03-04 08:29:01,04/03/2019 08:38:59 AM,2419,598,255,Indiana Ave & Roosevelt Rd,43,Michigan Ave & Washington St,Subscriber,Female,1975.0,41.867888,-87.623041,POINT (-87.623041 41.867888),41.883892766,-87.624649141,POINT (-87.6246491409 41.8838927658),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199979,2019-03-04 08:28:59,04/03/2019 08:47:27 AM,5049,1108,289,Wells St & Concord Ln,36,Franklin St & Jackson Blvd,Subscriber,Male,1977.0,41.912133,-87.634656,POINT (-87.634656 41.912133),41.877707956,-87.635321141,POINT (-87.6353211408 41.8777079559),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199977,2019-03-04 08:28:55,04/03/2019 08:32:10 AM,3633,195,50,Clark St & Ida B Wells Dr,321,Wabash Ave & 9th St,Subscriber,Male,1977.0,41.875932666,-87.630584536,POINT (-87.6305845355 41.8759326655),41.870769,-87.625734,POINT (-87.625734 41.870769),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199976,2019-03-04 08:28:52,04/03/2019 08:51:18 AM,5411,1346,24,Fairbanks Ct & Grand Ave,286,Franklin St & Quincy St,Subscriber,Male,1987.0,41.89186,-87.62062,POINT (-87.62062 41.89186),41.878724,-87.634793,POINT (-87.634793 41.878724),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199975,2019-03-04 08:28:46,04/03/2019 08:39:33 AM,2076,647,17,Honore St & Division St,376,Artesian Ave & Hubbard St,Subscriber,Male,1992.0,41.903119,-87.673935,POINT (-87.673935 41.903119),41.88949182,-87.688219365,POINT (-87.6882193648 41.88949181977),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199974,2019-03-04 08:28:43,04/03/2019 08:45:37 AM,3569,1014,141,Clark St & Lincoln Ave,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1973.0,41.915689,-87.6346,POINT (-87.6346 41.915689),41.888243,-87.63639,POINT (-87.63639 41.888243),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199973,2019-03-04 08:28:39,04/03/2019 08:45:18 AM,5870,999,313,Lakeview Ave & Fullerton Pkwy,48,Larrabee St & Kingsbury St,Subscriber,Female,1996.0,41.925858,-87.638973,POINT (-87.638973 41.925858),41.897764,-87.642884,POINT (-87.642884 41.897764),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199970,2019-03-04 08:28:37,04/03/2019 08:39:32 AM,2676,655,111,Sedgwick St & Huron St,286,Franklin St & Quincy St,Subscriber,Female,1956.0,41.894666,-87.638437,POINT (-87.638437 41.894666),41.878724,-87.634793,POINT (-87.634793 41.878724),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199971,2019-03-04 08:28:37,04/03/2019 08:32:55 AM,3795,258,320,Loomis St & Lexington St,261,Hermitage Ave & Polk St,Subscriber,Male,1993.0,41.872187,-87.661501,POINT (-87.661501 41.872187),41.871514,-87.669886,POINT (-87.669886 41.871514),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199969,2019-03-04 08:28:36,04/03/2019 09:00:47 AM,6169,1931,299,Halsted St & Roscoe St,44,State St & Randolph St,Subscriber,Female,1989.0,41.94367,-87.64895,POINT (-87.64895 41.94367),41.884730201,-87.627733569,POINT (-87.6277335692 41.8847302006),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
22199968,2019-03-04 08:28:31,04/03/2019 08:36:30 AM,5164,479,291,Wells St & Evergreen Ave,212,Wells St & Hubbard St,Subscriber,Male,1994.0,41.906724,-87.63483,POINT (-87.63483 41.906724),41.889906,-87.634266,POINT (-87.634266 41.889906),2019-03-04 08:00:00,2019-03-04 08:53:00,2.0,0.0,16.0,08:53:00
